mode,threads,tasks,iters_per_task,total_iters,run_id,elapsed_ms
parallel,24,48,416666667,20000000000,1,1492
parallel,24,48,416666667,20000000000,2,1566
parallel,24,48,416666667,20000000000,3,1924
parallel,24,48,416666667,20000000000,4,1551
parallel,24,48,416666667,20000000000,5,1508
parallel,24,48,416666667,20000000000,6,1492
parallel,24,48,416666667,20000000000,7,1504
parallel,24,48,416666667,20000000000,8,2016
parallel,24,48,416666667,20000000000,9,1580
parallel,24,48,416666667,20000000000,10,1739
parallel,24,48,416666667,20000000000,11,1517
parallel,24,48,416666667,20000000000,12,1525
parallel,24,48,416666667,20000000000,13,1561
parallel,24,48,416666667,20000000000,14,1758
parallel,24,48,416666667,20000000000,15,1792
parallel,24,48,416666667,20000000000,16,1482
parallel,24,48,416666667,20000000000,17,1503
parallel,24,48,416666667,20000000000,18,1626
parallel,24,48,416666667,20000000000,19,1772
parallel,24,48,416666667,20000000000,20,1797
parallel,24,48,416666667,20000000000,21,1651
parallel,24,48,416666667,20000000000,22,2279
parallel,24,48,416666667,20000000000,23,2226
parallel,24,48,416666667,20000000000,24,1708
parallel,24,48,416666667,20000000000,25,1870
parallel,24,48,416666667,20000000000,26,2255
parallel,24,48,416666667,20000000000,27,1667
parallel,24,48,416666667,20000000000,28,1924
parallel,24,48,416666667,20000000000,29,1856
parallel,24,48,416666667,20000000000,30,2001
