mode,threads,tasks,iters_per_task,total_iters,run_id,elapsed_ms
parallel,4,240,83333333,20000000000,1,3961
parallel,4,240,83333333,20000000000,2,3849
parallel,4,240,83333333,20000000000,3,3823
parallel,4,240,83333333,20000000000,4,3945
parallel,4,240,83333333,20000000000,5,3834
parallel,4,240,83333333,20000000000,6,3738
parallel,4,240,83333333,20000000000,7,3783
parallel,4,240,83333333,20000000000,8,3793
parallel,4,240,83333333,20000000000,9,3816
parallel,4,240,83333333,20000000000,10,3750
parallel,4,240,83333333,20000000000,11,3759
parallel,4,240,83333333,20000000000,12,3736
parallel,4,240,83333333,20000000000,13,3808
parallel,4,240,83333333,20000000000,14,3900
parallel,4,240,83333333,20000000000,15,3877
parallel,4,240,83333333,20000000000,16,3813
parallel,4,240,83333333,20000000000,17,3843
parallel,4,240,83333333,20000000000,18,3858
parallel,4,240,83333333,20000000000,19,3886
parallel,4,240,83333333,20000000000,20,3897
parallel,4,240,83333333,20000000000,21,4036
parallel,4,240,83333333,20000000000,22,4030
parallel,4,240,83333333,20000000000,23,3958
parallel,4,240,83333333,20000000000,24,3969
parallel,4,240,83333333,20000000000,25,3934
parallel,4,240,83333333,20000000000,26,3876
parallel,4,240,83333333,20000000000,27,3860
parallel,4,240,83333333,20000000000,28,3903
parallel,4,240,83333333,20000000000,29,3852
parallel,4,240,83333333,20000000000,30,3854
