mode,threads,tasks,iters_per_task,total_iters,run_id,elapsed_ms
parallel,24,4,5000000000,20000000000,1,3880
parallel,24,4,5000000000,20000000000,2,3859
parallel,24,4,5000000000,20000000000,3,3903
parallel,24,4,5000000000,20000000000,4,3897
parallel,24,4,5000000000,20000000000,5,3885
parallel,24,4,5000000000,20000000000,6,3843
parallel,24,4,5000000000,20000000000,7,3827
parallel,24,4,5000000000,20000000000,8,3946
parallel,24,4,5000000000,20000000000,9,3841
parallel,24,4,5000000000,20000000000,10,3970
parallel,24,4,5000000000,20000000000,11,4119
parallel,24,4,5000000000,20000000000,12,4023
parallel,24,4,5000000000,20000000000,13,4139
parallel,24,4,5000000000,20000000000,14,4108
parallel,24,4,5000000000,20000000000,15,4170
parallel,24,4,5000000000,20000000000,16,4029
parallel,24,4,5000000000,20000000000,17,4066
parallel,24,4,5000000000,20000000000,18,4048
parallel,24,4,5000000000,20000000000,19,4154
parallel,24,4,5000000000,20000000000,20,4037
parallel,24,4,5000000000,20000000000,21,3933
parallel,24,4,5000000000,20000000000,22,3924
parallel,24,4,5000000000,20000000000,23,3907
parallel,24,4,5000000000,20000000000,24,3977
parallel,24,4,5000000000,20000000000,25,3869
parallel,24,4,5000000000,20000000000,26,3897
parallel,24,4,5000000000,20000000000,27,3846
parallel,24,4,5000000000,20000000000,28,3887
parallel,24,4,5000000000,20000000000,29,3860
parallel,24,4,5000000000,20000000000,30,3851
