mode,threads,tasks,iters_per_task,total_iters,run_id,elapsed_ms
parallel,48,240,83333333,20000000000,1,1374
parallel,48,240,83333333,20000000000,2,1369
parallel,48,240,83333333,20000000000,3,1432
parallel,48,240,83333333,20000000000,4,1504
parallel,48,240,83333333,20000000000,5,1452
parallel,48,240,83333333,20000000000,6,1466
parallel,48,240,83333333,20000000000,7,1465
parallel,48,240,83333333,20000000000,8,1794
parallel,48,240,83333333,20000000000,9,1588
parallel,48,240,83333333,20000000000,10,1924
parallel,48,240,83333333,20000000000,11,1666
parallel,48,240,83333333,20000000000,12,1619
parallel,48,240,83333333,20000000000,13,1579
parallel,48,240,83333333,20000000000,14,1508
parallel,48,240,83333333,20000000000,15,-8
parallel,48,240,83333333,20000000000,16,1379
parallel,48,240,83333333,20000000000,17,1374
parallel,48,240,83333333,20000000000,18,1444
parallel,48,240,83333333,20000000000,19,1521
parallel,48,240,83333333,20000000000,20,1493
parallel,48,240,83333333,20000000000,21,1461
parallel,48,240,83333333,20000000000,22,1440
parallel,48,240,83333333,20000000000,23,1510
parallel,48,240,83333333,20000000000,24,1423
parallel,48,240,83333333,20000000000,25,1494
parallel,48,240,83333333,20000000000,26,1448
parallel,48,240,83333333,20000000000,27,1522
parallel,48,240,83333333,20000000000,28,1442
parallel,48,240,83333333,20000000000,29,1470
parallel,48,240,83333333,20000000000,30,1427
